id	utterance	conv_id	age	gender	condition	gpt_3_nugget_count	chat_gpt_nugget_count	chat_gpt_explanation	age_group
-NGusXPorNbKoO2IAC6F	Glass is important because it determines the rate at which heat is conducted to the pie.  Heavy materials, like thick ceramic or stoneware, will slow that process down, which can produce a dense and greasy crust. Meanwhile, lightweight metal, like aluminum, may speed things up so much that by the time the crust is golden brown, the apples may still be a little crunchy. Glass lands right in the middle, conducting heat at a brisk but not breakneck pace, so that the crust turns out flaky and crisp just as the apples cook through.	cegcgsG	55-64	female	active	3	3	3	45 or older
-NGWZQuXZ169LLcuMXrt	"So this is the process of maceration I told you about before. As I said, macerating helps break down the fruit's structure, leading to a massive reduction in volume without any cooking. The fruit will be ready when it's lost about a third of its original volume, and about a cup of ""juice"" has pooled up in the bag—scare quotes because it's not really juice."	rfAHhxd	65-74	male	active	0	3	3	younger than 45
-NGvd8ZKH9ZuNcrqgBuX	I cannot tell you an exact temperature, but high quality butter only needs to be lightly warmed to melt. Also your butter can melt through friction heat.	tLrorpH	55-64	female	active	2	2	Two	45 or older
-NKneWlmmI9gmW3Q97ER	Are you planning to use an electric hand blender?	2424a396	45-54	female	active	0	1		45 or older
-NGvkOLA_8fFuUYMSGdZ	A whisking method by a famous French chef is the following: first beating quickly to loosen the whites before slowing down to aerate them, lifting the whites with the whisk and letting them splash back down on themselves without tapping the bowl too much with the tines, a whisking movement that's different (and easier) than the figure eight often used to beat cream by hand.	tLrorpH	55-64	female	active	1	1	1 (one)	45 or older
-NKXrUMaEyLYkh4wZZSr	https://www.seriouseats.com/thmb/6uKLgGvoO8b1hMKMPAeiySAlP2I=/1500x1125/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__serious_eats__seriouseats.com__2018__08__20180706-pesto-vicky-wasik-garlic-pinenuts-1500x1125-25ce13e01bc14328895a01caeb910364.jpg	ea5def48	55-64	female	active	0	0	There are no possible facts in this text. It is just a web link to an image.	45 or older
-NGWfLrJkC4yN1U1gNi_	Just a second	rfAHhxd	65-74	male	active	0	0	0 (There are no facts in this text.)	younger than 45
-NGuqNBvM_3Hd8_bfNVB	"Macerating helps break down the fruit's structure, leading to a massive reduction in volume without any cooking. Maceration is the ""magic"" (really science) of applied osmotic pressure. The sugar mixture will draw fluid out of the fruit (indeed, many maceration steps are done by mixing the dry sugar with the fruit, rather than by placing the fruit in sugar-water - there is soon fluid, and the osmotic pressure is considerably higher since the concentration of sugar is higher. If water is needed, it would be added after maceration, in those recipes.)"	cegcgsG	55-64	female	active	2	3	3	45 or older
-NGve8wwI5JHUbXmPMpJ	Interesting question!  Let me see...	tLrorpH	55-64	female	active	0	0	0	45 or older
-NH4hKv3PBM-ta1CZQUI	I'm sorry, I do not have a video, but I can show you some pictures:	Fxikuau	45-54	male	passive	0	0	There are zero facts in this text.	45 or older
-NKXwpPwEJBEx8lGrDDd	Hence, the best pesto should be made under the pressure of a pestle. However, the food processor is a good alternative if in a hurry.	ea5def48	55-64	female	active	1	2	2	45 or older
-NKXofz-LgKvmGU68VH6	The picture above shows the difference between ceramic and Thai granite mortars.	ea5def48	55-64	female	active	0	1	1	45 or older
-NGWcmVlo9zm9ruhz5mf	But now, let's proceed to step 4 ;-)	rfAHhxd	65-74	male	active	0	0	0 (There are no facts in this text)	younger than 45
-NGvpREz8-UHBL9ooiTk	For example, an oven temperature of 350°F or 400°F influences the soufflé in two different ways...	tLrorpH	55-64	female	active	0	1	1 (one)	45 or older
-NKIChuu2Jk-KtYvwI3P	However,  you get slightly less crisping on the skin over the breast, which is centred in a protective pocket of cooler air	1vNO49Y	35-44	male	active	0	1	1	younger than 45
-NGuuqubdr1S3gqn70_Q	But let's proceed.	cegcgsG	55-64	female	active	0	1	1	45 or older
-NKcv4FvibgBQ4_1wlSS	More precisely, you need to whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl.	68942e2a	65-74	male	passive	0	4	Four facts.	younger than 45
-NGqFK7lmgQpCWH5Rd9j	Cool!	INfBowH	35-44	male	active	0	0	0	younger than 45
-NGvr5aT0vSTTxwWKkXm	Happy to help :-)	tLrorpH	55-64	female	active	0	0	0. There are no facts in this text.	45 or older
-NGWVuOqNrm1DVRqDDG3	How do you usually core apples?	rfAHhxd	65-74	male	active	0	0	There are 0 facts in this text.	younger than 45
-NGWgTlzQGq-trPRFWSz	Most fruit pie fillings are typically brought to a full boil, but it keeps the apples tender rather than mushy and avoids the problem of a watery pie.  When brought to a boil, apples break down and release their juices completely, flooding the pie. A slightly-cooler-than-standard target temperature keeps the apples plump and juicy, with enough structure to retain their own water content, so there isn't as much need for starch.	rfAHhxd	65-74	male	active	0	3	Three.	younger than 45
-NGqGTJIdzCEllJWMKJw	At this point, you need to concentrate on piping the gnocchi into the pot.	INfBowH	35-44	male	active	0	1	1	younger than 45
-NGqCg_HLCQxr8IVRCKn	But let me see what we can do with the mustard	INfBowH	35-44	male	active	0	0	0. There are no actual facts presented in this text.	younger than 45
-NKdGYZuNsN0mWHkG6Rp	Do you have any other questions about this step?	c70f521	45-54	female	active	0	0	0 (There are no facts in this text, only a question.)	45 or older
-NKgrnvrwDlLoiXqnTQG	"As a reminder, if you want to go to the next step, simply type ""next"". To go to a previous step, type ""previous""."	7460a2a0	45-54	male	passive	0	0	There are zero facts in this text.	45 or older
-NKiP2CvHuhT97XJpOwj	No that is all!	4f7f5758	25-34	female	active	0	0	0	younger than 45
-NGvohemEX2Ed6s-dadI	So 350°F are roughly 176°C and 400°F are roughly 204°C	tLrorpH	55-64	female	active	2	2	2	45 or older
-NH4iyAVtczsxixUzFAA	Substitutes for egg wash include vegetable oil, non-dairy milk and butter substitutes, and light corn syrup thinned with water if you like it vegan. The best non-vegan results are probably achieved with eggs. The egg wash is used to make the pie shiny and golden or brown in color	Fxikuau	45-54	male	passive	3	2	2	45 or older
-NKcu0DBmpgRzWX2t2Lm	Let me show you the first step.	68942e2a	65-74	male	passive	0	1	"There is only one fact in this text which is ""the speaker wants to show the reader the first step""."	younger than 45
-NGvbio4JVv5giH_JJiu	Sure! When you grate some Parmigiano-Reggiano to dust the interior of the buttered soufflé dish, it helps to form a delicious crispy crust.	tLrorpH	55-64	female	active	1	1	1	45 or older
-NGgFBUVW_OHbnZapRou	I'm sorry I do not have answer for this question.	xMKcudn	45-54	female	passive	0	1	There is only one fact in this text, which is that the person does not have an answer to the question.	45 or older
-NKXsHEGDPkc-gp7TKtc	But a great suggestion for a new feature! Thanks!	ea5def48	55-64	female	active	0	0	0	45 or older
-NGWcjGfOIutnfmV2lz9	Refrigerate the assembled pie at least 30 minutes, which is the perfect amount of time to preheat an oven to 400°F (200°C). Also, chilling ensures the dough is cold to start, which keeps the crust flaky and light.	rfAHhxd	65-74	male	active	1	2	Two.	younger than 45
-NGzt172egCvRCvUwpza	What else can I do for you?	EioCaKa	18-24	male	passive	0	0	0	younger than 45
-NKiJyfPuu58tvAjPi-o	And as long as you're using a decent, somewhat mild olive oil, your pesto is going to be good; if you feel like using an even higher-quality, not-too-spicy oil, whether Ligurian or not, it may be subtly better.	4f7f5758	25-34	female	active	1	2	Two.	younger than 45
