conv_id	condition	recipe_id	step_n	step_text	n_agent_utterances	n_user_utterances	knowledge	amount	cooking_technique	equipment	ingredient	meal	preparation	recipe	temperature	time	misc	total_images_sent	total_sources_used	wikipedia	seriousEats	stackExchangeCooking	excel
o9UbVjHVrS	active	2331	0	2 tablespoons paprika 2 tablespoons freshly ground black pepper 2 teaspoons garlic powder 2 teaspoons dried oregano 1/2 teaspoon cayenne pepper 1 cup buttermilk 1 large egg Kosher salt One whole chicken, about 4 pounds, cut into 10 pieces or 3 1/2 pounds bone-in, skin-on breasts, legs, drumsticks, and/or wings 1 1/2 cups all purpose flour 1/2 cup cornstarch 1 teaspoon baking powder 4 cups vegetable shortening or peanut oil Wok or chicken fryer	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
o9UbVjHVrS	active	2331	1	Combine the paprika, black pepper, garlic powder, oregano, and cayenne in a small bowl and mix thoroughly with a fork.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
o9UbVjHVrS	active	2331	2	Whisk the buttermilk, egg, 1 tablespoon salt, and 2 tablespoons of the spice mixture in a large bowl. Add the chicken pieces and toss and turn to coat. Transfer the contents of the bowl to a gallon-sized zipper-lock freezer bag and refrigerate for at least 4 hours, and up to overnight, flipping the bag occasionally to redistribute the contents and coat the chicken evenly.	4	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	
o9UbVjHVrS	active	2331	3	Whisk together the flour, cornstarch, baking powder, 2 teaspoons salt, and the remaining spice mixture in a large bowl. Add 3 tablespoons of the marinade from the zipper-lock bag and work it into the flour with your fingertips. Remove one piece of chicken from the bag, allowing excess buttermilk to drip off, drop the chicken into the flour mixture, and toss to coat. Continue adding chicken pieces to the flour mixture one at a time until they are all in the bowl. Toss the chicken until every piece is thoroughly coated, pressing with your hands to get the flour to adhere in a thick layer.	44	24	6	0	2	1	0	0	2	0	0	0	0	4	16	2	0	1	13	
rEG2v4CE7m	active	597	0	3 tablespoons (45g) unsalted butter, plus more for greasing the dish 2 tablespoons grated Parmigiano-Reggiano or Grana Padano cheese, for dusting the dish 3 1/2 tablespoons (1 ounce; 28g) all-purpose flour (see note) 1 cup (235ml) whole milk Kosher salt and freshly ground black pepper 1 teaspoon (5ml) Dijon mustard (optional; see note) 1 pinch cayenne pepper or two dashes hot sauce (optional; see note) 4 large egg yolks 5 large cold egg whites 1/2 teaspoon cream of tartar (optional; see note) 3 ounces (85g) freshly grated Gruyère or other semi-firm cheese, such as cheddar 48-ounce ramekin French whisk or electric hand mixer or electric standing mixer	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rEG2v4CE7m	active	597	1	Preheat oven to 400°F (200°C) for a more browned soufflé with a slightly looser center or 375°F (190°C) for a more gently cooked soufflé that sets all the way through. Set oven rack in lowest position. Grease interior of 48-ounce ramekin with softened butter. Add some grated Parmigiano-Reggiano, rotating ramekin all around so cheese sticks to every part of buttered surface; add more cheese if you don't have enough or discard any excess. Wipe rim of soufflé dish and transfer prepared ramekin to the refrigerator until ready to use.	10	13	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	3	
rEG2v4CE7m	active	597	2	In a small saucepan, melt 3 tablespoons butter over medium-high heat (do not allow it to brown). Add flour and whisk to form paste. Continue to cook, stirring, until raw flour scent is gone, about 1 minute. Whisking constantly, add milk in thin, steady stream, or in increments of a couple of tablespoons at a time, whisking thoroughly and getting into all corners of pan to maintain a lump-free texture. Sauce will initially become very thick, then get thin once all the milk is added.	6	10	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
rEG2v4CE7m	active	597	3	Heat, stirring, until sauce comes to simmer and begins to thicken slightly. Reduce heat to low and cook, stirring and scraping the sides and bottom of pan, until sauce is nicely thickened, about 3 minutes. Season generously with salt and pepper. Transfer béchamel sauce to large heatproof mixing bowl and allow to cool slightly.	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
rEG2v4CE7m	active	597	4	Whisk Dijon mustard (if using) and cayenne or hot sauce (if using) into béchamel. Then, while whisking constantly, work in egg yolks one at a time until thoroughly blended. Set soufflé base aside.	5	6	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	
rEG2v4CE7m	active	597	5	In large mixing bowl, using a French whisk, electric hand blender, or stand mixer fitted with whisk attachment, combine egg whites with cream of tartar (if using) and beat until firm, glossy peaks form.	8	13	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	
