_id,age,confidence_new_foods,confidence_raw_ingredients,confidence_recipe,cooking_enjoyment,cooking_frequency,cooking_technique,crowdsourcer_id,dietary_needs,education,employment_status,equipment,gender,ingredients_quantity,meal,preparation,recipe_history,recommend_recipe,science_cooking_process,smart_assistants,step_importance,temperature,time,user_id,knowledge_mean,cooking_confidence,age_group
632b10c4c6d26a8f9cb0e856,18_24,1,1,1,7,daily,7,5e831250400f0a0289ba4f3a,7,bachelor,full time employment,7,female,7,7,7,7,7,7,daily,7,7,7,6347c635-55b1-40b9-a974-99565e7b2ac6,7.0,1.0,younger than 45
632b10ccc6d26a8f9cb0e859,65,2,1,1,7,daily,5,5ea040075511b505cf6ec1eb,7,high_school,Retires,4,female,6,4,5,4,4,6,never,7,7,7,3e7a6c03-553d-4125-bc23-b687e0c868e0,5.666666666666667,1.3333333333333333,45 or older
632b10ccc6d26a8f9cb0e85b,18_24,4,5,2,3,less than once a week,4,60f9a20850f30c28ac823268,5,high_school,Full time,4,female,7,5,6,2,5,3,less than once a week,5,6,7,14122b6c-40c7-40b2-9574-8fd8bfed42ae,3.3333333333333335,3.6666666666666665,younger than 45
632b10e0c6d26a8f9cb0e85d,35_44,6,5,3,4,once a week,4,613dee63d49b5e8e265b7b3d,4,bachelor,Part time,4,female,7,3,7,3,6,5,4 to 6 times a week,5,7,6,0f3e04c6-1195-43f1-b4e1-d821a55b5b21,4.333333333333333,4.666666666666667,younger than 45
632b10e7c6d26a8f9cb0e85f,35_44,7,7,7,1,never,7,5f68e069c74f3f0775307fc6,6,high_school,full time,7,female,7,5,7,3,5,3,daily,5,6,6,9fb52537-ced8-4c1d-a7c1-e8229101648e,3.6666666666666665,7.0,younger than 45
632b10f9c6d26a8f9cb0e861,25_34,2,1,1,7,2 to 3 times a week,6,5735f0cb9eda1e00c8a590b0,6,master,Self employed,6,female,6,6,6,6,6,6,never,6,6,6,85646a79-0c38-4e1b-8cba-ce88d9ea9d29,6.0,1.3333333333333333,younger than 45
632b111ec6d26a8f9cb0e863,18_24,1,1,1,7,daily,5,62e29394924f3569f0fd0fda,6,bachelor,student,5,female,7,7,6,7,7,4,daily,5,6,6,7cd8952c-8bf4-4ffb-af9f-55ef8d3b0b70,5.333333333333333,1.0,younger than 45
632b113ec6d26a8f9cb0e865,35_44,4,6,7,6,2 to 3 times a week,4,5c61dc8d24035400014b63da,5,vocational_education,Full time,4,male,6,7,6,4,7,3,daily,3,7,7,338d055b-30e8-43b3-b40c-a318c5f6b973,3.3333333333333335,5.666666666666667,younger than 45
632b113ec6d26a8f9cb0e867,35_44,2,2,1,6,2 to 3 times a week,5,5f0c7dcc324f8b0ca60380f6,6,high_school,full time,3,female,4,3,6,4,4,3,once a week,3,4,5,f78cfa0d-e727-4c80-b6b4-d1ded56e89a3,3.3333333333333335,1.6666666666666667,younger than 45
632b1148c6d26a8f9cb0e869,25_34,2,1,1,7,2 to 3 times a week,4,57f66d2a1636b20001364f87,1,bachelor,Employed full time,3,male,7,5,5,1,4,1,2 to 3 times a week,2,6,2,015747c7-a429-4a26-a88b-660aa2311f1c,1.3333333333333333,1.3333333333333333,younger than 45
632b115bc6d26a8f9cb0e86b,25_34,3,7,1,5,less than once a week,7,6307f258950c3d55c4e1eb3c,4,high_school,Full-time,7,male,7,4,7,4,7,5,daily,7,7,7,33b838d1-7649-440f-b98d-9dd030eda1c5,5.333333333333333,3.6666666666666665,younger than 45
632b116cc6d26a8f9cb0e86d,35_44,3,3,2,5,4 to 6 times a week,7,5a638fa6c0d836000107b8bc,7,high_school,full time employment,6,female,6,4,6,5,6,6,never,4,5,6,128aca81-1da5-47b1-b9f1-76b125ae14d6,5.0,2.6666666666666665,younger than 45
632b1191c6d26a8f9cb0e86f,55_64,2,2,1,1,2 to 3 times a week,5,5cde8522ec6e1e001740e757,6,high_school,retired,4,female,7,5,6,3,5,3,never,4,7,7,c6965b46-c984-4671-b2ad-db28fda9dacd,3.3333333333333335,1.6666666666666667,45 or older
632b119ec6d26a8f9cb0e871,35_44,2,1,1,6,4 to 6 times a week,7,5e17539b62e93406168e8957,7,high_school,Unemployed,7,female,7,7,7,7,7,7,daily,7,7,7,aac9c382-dfcd-4932-8b2d-85450e79e354,7.0,1.3333333333333333,younger than 45
632b11d8c6d26a8f9cb0e873,18_24,5,4,3,5,once a week,7,6097e7c160eb695ab30ecdf1,7,bachelor,unemployed,7,male,7,6,7,5,4,7,less than once a week,7,7,7,d6a523ac-fd71-40b2-84ae-7f80cb325e32,6.333333333333333,4.0,younger than 45
632b11fac6d26a8f9cb0e875,25_34,3,2,3,6,4 to 6 times a week,6,62780b82bb72a3211e731d9a,6,high_school,Full time,6,female,6,6,6,6,6,6,2 to 3 times a week,6,6,6,22914c4b-8fff-4a7f-a252-edc45958e7b6,6.0,2.6666666666666665,younger than 45
632b1207c6d26a8f9cb0e877,55_64,7,6,6,2,less than once a week,3,5eb3073acf91cc0dc61d782f,5,master,part time self employed,7,female,7,6,7,1,5,1,never,3,7,7,8fba65c6-0701-4b85-b529-074ad322abf6,1.6666666666666667,6.333333333333333,45 or older
632b1211c6d26a8f9cb0e879,25_34,1,1,1,6,4 to 6 times a week,1,60932f28c1f66a390cd43e0c,7,bachelor,employed,4,male,7,5,7,1,7,1,4 to 6 times a week,3,7,7,4fabfd7d-f04e-4cd7-9a81-7a953166a424,1.6666666666666667,1.0,younger than 45
632b1218c6d26a8f9cb0e87b,45_54,2,1,1,6,daily,4,5ec7015af52d111553071fad@email.prolific.co,7,high_school,Employed,6,female,7,5,6,3,6,3,daily,5,7,7,2e2db33f-686f-4b89-bf07-a5d01069bdd4,3.6666666666666665,1.3333333333333333,45 or older
632b121fc6d26a8f9cb0e87d,35_44,4,4,2,2,once a week,5,5ed63ad8272a8e04b1cc818a,7,less_high_school,Employed,6,female,6,5,7,3,6,2,less than once a week,7,5,6,acaef327-e8ae-4b90-b47d-3ed41c99e4ee,4.0,3.3333333333333335,younger than 45
632b121fc6d26a8f9cb0e87f,35_44,1,1,1,6,daily,7,57acee52bfa77b0001bf31d4,6,bachelor,self employed,7,female,7,4,7,3,5,4,never,5,7,6,ae30262b-e547-421b-a058-c6a352d91b1e,4.0,1.0,younger than 45
632b1228c6d26a8f9cb0e881,18_24,2,2,1,7,2 to 3 times a week,6,5fa9d7890eddf7273ca0acd3,5,high_school,Full Time Student,6,female,6,6,6,6,6,6,less than once a week,6,6,7,fff6eab3-5c3d-4eba-be7e-7eebd90b32b8,6.0,1.6666666666666667,younger than 45
632b122ac6d26a8f9cb0e883,25_34,4,4,3,5,less than once a week,7,5aeaeef326e9c60001fbd22b,7,master,Full time,6,female,7,6,7,4,7,4,never,5,6,6,e8893e29-1061-4f59-8726-2846fcbe04c5,4.333333333333333,3.6666666666666665,younger than 45
