-NBMywNxa4sO8RRBVEOC	In food preparation, maceration is softening or breaking into pieces using a liquid. Raw, dried or preserved fruit or vegetables are soaked in a liquid to soften the food and/or absorb the flavor of the liquid into the food.	3	3	3			
-N96NKCjY5pmnVEPX-UC	You reached the last step! Well done!						
-NBg02FNdLDR6myFmYtP	There are really two types of gnocchi recipes: those made the old school, wooden-spoon-and-elbow-grease way, and those made with the mechanical aid of a stand mixer. The latter is also possible and probably easier, particularly if your beating arm is not quite in shape.	3	3	4			
-NBSTaX9L-igFsmxpLdW	Thank you.						
-N5es76pEAqgEvprXI6B	1 1/2 cups all purpose flour						
-NAj65_9PIYaceBT4Lns	You should season generously to taste with salt and pepper.						
-NBMST43ah1jupBOui1P	Some degree of gluten can still form, but because cooked proteins aren't nearly as stretchy or clingy as raw ones, you won't get anywhere near the elasticity of a cold-water dough.	3	2	2			
-N4MrklOwYCGEDoA-hyH	I'm searching a response						
-NAiywomyjnxhCEPfBbs	That's a great question! Let me see what I can find						
-N5jytz6L96h8JMChpvg	That's an excellent question!  "Bigarade" is the French name of bitter oranges, also sometimes sold as Seville oranges.	2	2	2			
-N6JkmfD8E6W6aW6msSL	Next, you should add pine nuts and continue to crush with pestle, smashing and grinding them, until a sticky, only slightly chunky, beige paste forms.	0	1	1		procedural	procedural knowledge
-N9WAEUslZSBRAB3818i	A metal spider, is restaurant lingo for a flat mesh scoop used in frying and skimming.	2	1	1			
-NBX0iLVikO31IOTZwbZ	Do you want to hear more details about the cooking process?						
-NBNGGKV4hMGYTp8dWbZ	Before going to the first step, can you tell me what's the difference between sweet souffes and sour ones?						
-N6Jn9twS-42AwDRJYqS	But Pecorino Romano is saltier, sharper, and tangier than Fiore Sardo.	1	1	1			
-NBWu3NBedRYhyLQNlym	But what I found:						
-NBHQVi1PbJcQiZc0ATS	That's a smart choice.  Cooked side-by-side, there's absolutely no detectable difference between the wooden spoon and the stand-mixer method, provided you beat extremely vigorously. If you're even slightly lax with the hand-beating, then the stand mixer method will produce superior results every time.	2	2	2			
-N8YM-waIWYCKgJImkz6	That's a great question!  Chilling ensures the dough is cold to start, which keeps the crust flaky and light.	2	2	2			
-NBMBkpjJC2G4KJL63wl	Actually yes.						
-NBMXIge5dOZ4_6Nc1as	That's a good choice. There's absolutely no detectable difference between the wooden spoon and the stand-mixer method, provided you beat extremely vigorously. However, if you're even slightly lax with the hand-beating, then the stand mixer method will produce superior results every time.	2	2	2			
-NBMxMmcHHpjjj0F4Wd2	For this recipe, selecting the right type of apples is key	1	0	1			
-N5jtugwC3TxxAINxKBw	Hey there! Happy to have you on board for our masterclass :) Today you will be learning how to prepare Duck à l'Orange Recipe. Make sure you have all the ingredients and tools and feel free to ask questions. If you are ready to start cooking simply say next.						
